         27262 function calls (26164 primitive calls) in 1.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.029    0.029    0.029    0.029 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.026    0.026 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\util\ssl_.py:497(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.026    0.026 C:\Users\thewi\miniconda3\Lib\ssl.py:449(wrap_socket)
        1    0.000    0.000    0.026    0.026 C:\Users\thewi\miniconda3\Lib\ssl.py:956(_create)
        1    0.000    0.000    0.026    0.026 C:\Users\thewi\miniconda3\Lib\ssl.py:1313(do_handshake)
        1    0.026    0.026    0.026    0.026 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.024    0.024 x:\_WORK\Python\Qt\BigLinks\main.py:377(set_dark_background)
        1    0.000    0.000    0.022    0.022 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:178(create_startup_docks)
        1    0.000    0.000    0.021    0.021 x:\_WORK\Python\Qt\BigLinks\GUX\overlay.py:111(__init__)
        1    0.000    0.000    0.013    0.013 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:411(TerminalWidget)
        1    0.000    0.000    0.013    0.013 x:\_WORK\Python\Qt\BigLinks\GUX\terminal_widget.py:10(__init__)
        1    0.000    0.000    0.012    0.012 x:\_WORK\Python\Qt\BigLinks\GUX\terminal_widget.py:27(add_terminal)
      7/5    0.012    0.002    0.012    0.002 {built-in method setGeometry}
        9    0.012    0.001    0.012    0.001 {built-in method setWidget}
        2    0.012    0.006    0.012    0.006 {built-in method setParent}
        1    0.000    0.000    0.010    0.010 x:\_WORK\Python\Qt\BigLinks\AuraText\auratext\Core\powershell.py:33(__init__)
        3    0.000    0.000    0.009    0.003 x:\_WORK\Python\Qt\BigLinks\GUX\overlay.py:12(__init__)
        3    0.008    0.003    0.008    0.003 {built-in method winId}
       28    0.000    0.000    0.005    0.000 C:\Users\thewi\miniconda3\Lib\json\__init__.py:274(load)
        2    0.000    0.000    0.005    0.002 x:\_WORK\Python\Qt\BigLinks\HMC\theme_manager.py:145(__init__)
        5    0.000    0.000    0.005    0.001 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1660(_log)
        5    0.000    0.000    0.004    0.001 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1686(handle)
        5    0.000    0.000    0.004    0.001 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1746(callHandlers)
        5    0.000    0.000    0.004    0.001 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1011(handle)
        5    0.000    0.000    0.004    0.001 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1148(emit)
       42    0.004    0.000    0.004    0.000 {built-in method _io.open}
        1    0.002    0.002    0.004    0.004 x:\_WORK\Python\Qt\BigLinks\AuraText\auratext\Core\powershell.py:119(setup_toolbar)
        1    0.000    0.000    0.004    0.004 C:\Users\thewi\miniconda3\Lib\subprocess.py:807(__init__)
        1    0.000    0.000    0.004    0.004 C:\Users\thewi\miniconda3\Lib\subprocess.py:1436(_execute_child)
        1    0.004    0.004    0.004    0.004 {built-in method _winapi.CreateProcess}
        1    0.000    0.000    0.004    0.004 x:\_WORK\Python\Qt\BigLinks\AuraText\auratext\Core\powershell.py:186(addNewTab)
       51    0.004    0.000    0.004    0.000 {built-in method addWidget}
        1    0.000    0.000    0.004    0.004 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:2175(error)
        1    0.000    0.000    0.004    0.004 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:1558(error)
